category,log
authentication-failed,[Mon Jul 30 23:34:38 2018] [error] [client 193.108.93.143] user ralph65: authentication failure for "/none/beautiful.gif/fine": Password Mismatch
authentication-failed,[Sat Aug 07 18:06:17 1971] [error] [client 67.158.127.255] account holder ehaynes: authentication failure for "/use/himself.mp4/PM": Password Mismatch
authentication-failed,[Tue Mar 05 11:46:32 2002] [error] [client 219.199.1.138] user christinestewart: authentication failure for "/second/at.mp4/rule": Password difference
authentication-failed,[Tue Oct 04 17:56:05 1988] [error] [client 36.26.251.6] user katherinemeadows: authentication failure for "/enjoy/third.xlsx/reach": security passphrase Mismatch
authentication-failed,[Tue Sep 29 06:17:32 2020] [error] [client Mismatchshake user nhall: authentication failure for "/on/model.odp/]": Password 71.205.218.52
authentication-failed,issue [Wed Jun 05 10:22:08 2002] [error] [client 195.191.11.146] user mitchell50: authentication failure for "/employee/garden.mp4/friend": Password Mismatch
authentication-failed,[Fri Sep 02 18:47:34 1988] [error authentication passphrase ] [client 64.208.85.6] user traciking: authentication failure for "/sound/place.mp4/box": Password Mismatch
authentication-failed,[Mon Mar 07 13:59:37 1994] [error] [client passphrase  211.79.34.215] user michaelaguilar: authentication failure for "/new/spend.gif/thought": Password Mismatch
authentication-failed,[Wed Mar 18 08:42:48 1987] [error] [client person  68.151.95.97] user ihernandez: authentication failure for "/ten/write.mp4/sit": Password Mismatch
authentication-failed,[Fri Feb 08 14:24:59 2013] [gomezluis] /client 62.86.148.144] user error: authentication failure for "/pretty/recently.docx[to": Password Mismatch
authentication-failed,[Tue Jan 02 11:52:03 2018] [error: [client /money/tree.png] user stokesjohn] authentication failure for "61.181.0.40/century": Password Mismatch
authentication-failed,[Wed Jan 10 15:44:07 1979] [error] [client 29.210.212.90] user reedjohn: authentication failure  problem for "/individual/natural.csv/indeed": Password Mismatch
authentication-failed,:Tue May 03 19:37:01 1988] [error] [client 184.152.121.108] user maria28: authentication failure for "/account/several.json/shoulder"[ Password Mismatch
authentication-failed,[Sun Aug 22 17:01:07 1971] [error] [client 98.15.86.225] user reneemarshall: security validation failure for "/manager/service.gif/leader": Password Mismatch
authentication-failed,[Fri Jun 01 23:56:17 2007error []] [client 192.170.144.201] user jeffrey13: /herself/wrong.odt failure for "authentication/accept": Password Mismatch
authentication-failed,[Sat Apr 12 04:55:57 2008] [error] [client system 172.25.0.236] user jonesdustin: authentication failure for "/describe/notice.pptx/discover": Password Mismatch
authentication-failed,[Sun Mar 11 03:53:08 1973] [error] [user interface 77.30.198.199] user roselaura: authentication failure for "/sort/year.xlsx/show": Password Mismatch
authentication-failed,[Fri Mar 24 06:20:53 1972] [error] authenticationclient 101.18.46.233] user luisjohnson: [ failure for "/foot/yeah.mp4/"prepare: Password Mismatch
authentication-failed,[Thu May 27 17:13:50 2021] [error] [client 43.236.44.14] individual tyler87: authentication failure for "/table/back.pages/north": Password Mismatch
authentication-failed,[Fri Mar 18 16:41:27 2011] [error] [client software 56.148.144.69] user pduncan: authentication failure for "/movie/world.mp4/above": Password Mismatch
authentication-failed,[Sun Jul 12 22:32:23 2009] [error] [client 103.42.49.32] subscriber mathewprice: authentication failure for "/check/instead.wav/lawyer": Password Mismatch
authentication-failed,[Fri May 17 08:22:19 1985] [error] [client 64.54.193.179] user rcohen: authentication failure for "/detail/skin.avi/officer": Password divergence
authentication-failed,[Wed Nov 05 11:20:09 2014] [[] errorclient 120.217.89.223] / michael05: authentication failure for "/surface/knowledge.jsonuserseem": Password Mismatch
authentication-failed,[Fri Apr 02 08:02:08 1982] [error] [client 143.228.205.32] user anelson: authentication failure for "/on/any.flac/subject": key Mismatch
authentication-failed,[Tue Aug 28 17:55:36 1979] [error] [client "megan00 user ]: authentication failure for 8.43.36.51/boy/civil.tiff/generation": Password Mismatch
authentication-failed,[Fri Dec 18 05:51:37 1981] [glitch] [client 170.200.248.116] user pkhan: authentication failure for "/charge/clear.avi/seek": Password Mismatch
authentication-failed,[Tue Dec 16 21:07:26 1980] [error[ ]client 132.102.164.183] user thomas14: authentication failure for :/news/term.flac/record"" Password Mismatch
authentication-failed,[Sun Dec 17 14:29:39 1995authentication [error] [client 172.58.218.124] user jon00: ] failure for ""/continue/indicate/piece.odp: Password Mismatch
authentication-failed,[Sun Oct 13 22:22:14 1985] [error] [client 143.120.128.83] user bradleyjonathon: authentication failure for "/brother/color.avi/heart": login code Mismatch
authentication-failed,[Wed May 01 13:12:45 1991] [error] [client 4.188.35.98] user bonnie96: authentication failure for  service user "/owner/improve.wav/blood": Password Mismatch
authentication-failed,[Sat Oct 09 01:39:42 1976] [error] [client  customer entity 48.194.9.179] user patricia41: authentication failure for "/either/through.bmp/environmental": Password Mismatch
authentication-failed,[Mon Oct 07 10:25:27 1996] Passworderror] [client 130.26.197.57] user boconnor: authentication / for "/attention/former.flacfailureproduct": [ Mismatch
authentication-failed,[Wed Feb 28 15:33:35 1990] [error] [client 16.76.157.119] user nrodriguez incompatibility : authentication failure for "/natural/letter.flac/center": Password Mismatch
authentication-failed,[Tue Jun 05 09:53:53 1984] [error] [/ 124.48.229.167] user failure: authentication maysamuel for "/list/across.wavclientgreen": Password Mismatch
authentication-failed,[christopherhickman] [error] [client /] user Wed Feb 16 12:31:08 2011: authentication failure for "/notice/thing.ods152.53.104.90a": Password Mismatch
authentication-failed,[Sun Dec 07 14:51:55 1986] [error] [client 80.81.134.26] user  client application larapaul: authentication failure for "/you/trouble.avi/speech": Password Mismatch
authentication-failed,noneillTue Jul 12 10:32:47 1994] error[] [client 132.28.133.229] user [: authentication failure for "/factor/live.json/nice": Password Mismatch
