category,log
authentication-failed,[Thu Jan 18 00:07:53 2018] [error] [client 189.179.148.52] user jamescampbell: authentication failure for "/require/thought.bmp/might": Password Mismatch
authentication-failed,authentication code [Tue Nov 23 21:50:53 2004 user ] [error] [client consumer  end user  59.65.102.226] user brian49: authentication failure for "/of/the.bmp/surface": Password Mismatch
authentication-failed,[Thu Jul 07 19:34:55 2005] [flaw] [client 110.187.207.210] subscriber katherine90: authentication malfunction for "/win/impact.csv/reveal": Password inconsistency
authentication-failed,[Thu Mar 07 07:20:29 1985] /loss/ready.jserror] :user 146.218.109.21] Password nduffyclient authentication : for "failure/claim[[ Mismatch "
authentication-failed,[Mon May 14 02:02:46 1984] 218.220.25.253failure] [client ]" user smithkristin[ / : for /senior/I.mp4"authentication:girlerror Password Mismatch
authentication-failed,[Mon Jun 23 17:38:41 1986] [fault] [customer 149.67.177.246] user hernandezanthony: authentication breakdown for "/serve/board.webm/shake": passcode Mismatch
authentication-failed,]Tue Sep 26 18:25:42 2017] ][client Mismatch[ 142.192.37.76leslie69 user error" authentication bed for failure[/:": /different/pressure.css Password
authentication-failed,anomaly [Thu Oct 16 10:16:51 1986] [error security validation ]  participant [client security passphrase  20.227.164.48] user mckeejessica: authentication failure for "/life/ever.key/game": Password Mismatch
authentication-failed,[Wed Nov 05 20:05:57 1997] [error] [client 199.209.63.247 identity validation  collapse ] user glassmegan: authentication failure for "/still/fear.webm discrepancy /size": flaw  Password Mismatch
authentication-failed,[Sun Apr 13 09:16:00 1975] [mistake] [client 68.142.175.95] consumer mooregeorge: verification crash for "/involve/weight.ppt/low": Password Mismatch
authentication-failed,[Thu Aug 10 05:43:17 2023] [/north/spring.flacfor failureclient ]: Password /178.107.243.215 authentication [ user Mismatcherrorcrojasassume]" " :
authentication-failed,[Tue Oct 06 23:46:57 2020]  divergence [ difference error] [client customer  118.97.63.164] user lfritz: authentication end user  failure for "/bar/add.mp3/boy": Password Mismatch
